,Cluster,Category,Prophet_static_mae,Prophet_static_me,Prophet_static_rmse,Prophet_static_direction_accuracy,Prophet_wf_mae,Prophet_wf_me,Prophet_wf_rmse,Prophet_wf_direction_accuracy
0,"['25', '24']",A2 -  geschreddert,14.127934178621786,-14.127934178621786,15.337345393819918,0.625,5.764565456720417,-4.602605333399071,7.1980999179112475,0.625
1,"['25', '24']",A1 & A2 -  geschreddert,8.468394529730572,-8.005529558327044,10.414399757159378,0.5,6.264177618827063,-4.487234977937768,7.939458555949427,0.5
2,"['25', '24']",A2 & A3 -  geschreddert,12.18110102366169,-12.18110102366169,13.292845262546281,0.625,5.009654227015086,-3.855681105501228,6.358306444866763,0.625
3,"['80', '81', '82', '83', '84', '85', '93', '94']",A3 -  geschreddert,3.9761554787118576,0.7124857653032713,4.616744769497319,0.25,3.5156252740458456,-0.5211529125990447,4.161088006932842,0.25
4,"['80', '81', '82', '83', '84', '85', '93', '94']",A1 & A2 -  geschreddert,6.599521137437579,-3.799070854461944,7.415715880325446,0.42857142857142855,4.975727750902879,-1.9387903653310739,5.855178719628749,0.42857142857142855
5,"['80', '81', '82', '83', '84', '85', '93', '94']",A2 & A3 -  geschreddert,3.8777904991246603,-1.0567102177167587,4.447597253355644,0.5,3.4326690056093816,-0.5928285954044468,3.923101336110309,0.5
6,"['70', '71', '73', '74', '75', '76']",A2 & A3 -  geschreddert,6.846611785218364,-6.846611785218364,7.413996037094251,0.5714285714285714,4.381234043578963,-4.381234043578963,5.041052371925684,0.5714285714285714
7,"['50', '51', '52', '53']",A2 & A3 -  geschreddert,8.811059651429364,-8.811059651429364,9.403652075672602,0.5,5.0420175675324295,-5.0420175675324295,5.817502939676791,0.5
8,"['50', '51', '52', '53']",A3 -  geschreddert,11.313979465765618,-11.313979465765618,12.08393753006239,0.5,4.883790718023647,-4.842193052443601,5.909462094094133,0.5
9,"['40', '41', '42', '44', '45', '46', '47']",A2 & A3 -  ungeschreddert,3.218994172084716,-2.134970795188162,3.7230635850994416,0.5,2.160732429862568,-0.30968469418677036,2.3892866583219687,0.625
