,Cluster,Category,ARIMA_static_mae,ARIMA_static_me,ARIMA_static_rmse,ARIMA_static_direction_accuracy,ARIMA_wf_mae,ARIMA_wf_me,ARIMA_wf_rmse,ARIMA_wf_direction_accuracy
0,"['25', '24']",A2 -  geschreddert,20.949293952749244,20.572508380091325,23.891896721565274,0.375,7.621204940469024,0.308027020778579,8.566791706142283,0.375
1,"['25', '24']",A1 & A2 -  geschreddert,15.497085540765031,14.843453279256105,17.98253511153031,0.5,8.888827829917147,-0.13357146632147318,9.65158377682164,0.375
2,"['25', '24']",A2 & A3 -  geschreddert,23.508696020993373,23.03553010515016,26.096928807069105,0.375,6.971958930420633,0.8450315384969528,8.431148059112607,0.375
3,"['80', '81', '82', '83', '84', '85', '93', '94']",A3 -  geschreddert,3.107816966683898,3.107816966683898,3.5583271957520144,0.75,1.6386040829585993,-0.07311920703780651,1.9837197722580333,0.375
4,"['80', '81', '82', '83', '84', '85', '93', '94']",A1 & A2 -  geschreddert,7.187166833055527,7.187166833055527,9.094352737109269,0.7142857142857143,4.0320123352799815,0.6564953790817198,6.0083025056867205,0.42857142857142855
5,"['80', '81', '82', '83', '84', '85', '93', '94']",A2 & A3 -  geschreddert,3.885234501400708,3.885234501400708,4.771942260127624,0.5,2.2298856230982236,0.1167087269605547,2.8303395414422217,0.375
6,"['70', '71', '73', '74', '75', '76']",A2 & A3 -  geschreddert,23.6112828567031,23.6112828567031,28.22627558291876,0.42857142857142855,3.8271570074081076,2.4745973290501766,5.27708136247636,0.2857142857142857
7,"['50', '51', '52', '53']",A2 & A3 -  geschreddert,2.056864486514265,-1.2700789675767925,2.4409765782345847,0.125,2.7133795391096323,0.1835006239025677,3.387405628914266,0.125
8,"['50', '51', '52', '53']",A3 -  geschreddert,8.783146337620856,-8.783146337620856,9.04960653375538,0.5,3.2292176971947675,-0.0003947817929901534,4.171241175548785,0.125
9,"['40', '41', '42', '44', '45', '46', '47']",A2 & A3 -  ungeschreddert,2.4527612531908947,1.4702946574835711,2.7272148464798467,0.375,1.9491822103389258,0.3372577816766557,2.48350897739373,0.25
10,"['40', '41', '42', '44', '45', '46', '47']",A1 & A2 -  ungeschreddert,5.6590614675473425,-0.7389130404869602,7.337422021778227,0.2857142857142857,6.101392126508285,-1.7436559526052888,8.323539613068656,0.2857142857142857
11,"['40', '41', '42', '44', '45', '46', '47']",A2 & A3 -  geschreddert,9.04830645737859,-9.04830645737859,10.8223035010769,0.5,4.173509892906698,-1.5265584127290142,5.409761992927298,0.375
12,"['40', '41', '42', '44', '45', '46', '47']",A3 -  geschreddert,3.044698470824829,0.5499134657346523,3.7763338236505852,0.25,3.0339131559044654,-0.019541941703937797,4.213915897093485,0.5
13,"['40', '41', '42', '44', '45', '46', '47']",A1 & A2 -  geschreddert,23.59640719429094,-23.59640719429094,25.795213388505704,0.375,6.724585233293068,-1.361931479780411,7.786464151364557,0.25
14,"['40', '41', '42', '44', '45', '46', '47']",A2 -  geschreddert,18.66649334649835,-18.66649334649835,22.509556704890578,0.2857142857142857,5.249266384192172,-1.560311760995893,7.4839483479171145,0.2857142857142857
15,"['26', '27', '28']",A2 -  geschreddert,3.251504449339086,2.4133044726349406,4.7176740606217855,0.5,4.978036025671709,-0.8460821102496939,6.107951423920536,0.3333333333333333
16,"['26', '27', '28']",A3 -  geschreddert,2.9757203936766494,-2.083733428017966,3.5373612935852776,0.125,3.0649460750363406,-0.5224093640740597,4.032545302718216,0.25
17,"['26', '27', '28']",A1 & A2 -  geschreddert,8.081184998350626,-8.001134007352018,9.478903632668061,0.5714285714285714,4.960389741831119,-1.352681813179826,5.829472207587905,0.2857142857142857
18,"['26', '27', '28']",A2 & A3 -  geschreddert,9.034713722493123,-9.034713722493123,10.324503665406015,0.5,2.475849067691739,-1.0230939969915818,2.850340218330089,0.375
19,"['48', '49']",A2 & A3 -  ungeschreddert,3.2837615345722497,-3.163484726638959,3.8074561112536354,0.5714285714285714,2.227036190068762,-0.23102043012428286,2.412356936580381,0.42857142857142855
20,"['48', '49']",A3 -  ungeschreddert,2.818541632980443,-2.818541632980443,3.203893973297548,0.7142857142857143,1.790627343786991,-0.16894045237422872,1.9819897578254795,0.5714285714285714
21,"['48', '49']",A2 & A3 -  geschreddert,10.995786671036935,10.786330120699132,13.419345670701247,0.5,8.966795557259408,-0.8791467504603622,10.118342362557806,0.375
22,"['48', '49']",A1 & A2 -  geschreddert,7.756942175728442,-6.1151367409982225,9.00685774088372,0.5,7.3003618951144835,-1.900060249493617,9.381670199773309,0.5
23,"['48', '49']",A3 -  geschreddert,7.387411876952827,-1.6602928566946555,8.689294176666834,0.625,11.034645579944787,-0.561712165639888,12.71446219583904,0.125
24,"['20', '21', '22', '23']",A2 -  geschreddert,5.875367365291093,-5.875367365291093,6.1850014280116055,0.375,2.8678501749501706,-0.4300516334038878,3.723400667361178,0.375
25,"['20', '21', '22', '23']",A1 & A2 -  geschreddert,6.4532649146726335,-6.4532649146726335,6.76533697517775,0.375,2.9214398044720364,-0.24511636454305485,3.66022082301562,0.375
26,"['20', '21', '22', '23']",A2 & A3 -  geschreddert,4.256956314431425,-4.203754977999307,4.742205814761001,0.25,3.009911057979166,-0.2413133614123136,3.8218922812864315,0.375
27,"['10', '11', '12', '13', '14', '15', '16']",A2 & A3 -  geschreddert,8.646846939232065,6.780231924660459,11.421265058053663,0.7142857142857143,6.067636539098796,2.383207726516276,7.343117470259643,0.42857142857142855
28,"['10', '11', '12', '13', '14', '15', '16']",A1 & A2 -  geschreddert,5.924594782382666,-1.8239926799428483,6.205214364546921,0.75,4.181260518569719,1.2171558605519683,4.5109815212565065,0.625
29,"['10', '11', '12', '13', '14', '15', '16']",A2 -  geschreddert,11.246211397132168,11.177876640359182,14.609485189109959,0.5714285714285714,3.453323664945629,2.5811901785136024,3.9305564807688547,0.5714285714285714
30,"['29', '30', '31', '38', '39']",A2 & A3 -  geschreddert,6.366160432951261,4.910424526538361,7.101699558390238,0.5,5.354319204411253,-0.12330528639455689,6.446836626957072,0.25
31,"['29', '30', '31', '38', '39']",A1 & A2 -  geschreddert,5.674036434590278,3.8027279201072375,6.875536898929106,0.375,6.277895424124905,0.2645798460672495,7.25083259746783,0.25
32,"['29', '30', '31', '38', '39']",A2 -  geschreddert,9.953619061820138,9.505700161496966,11.438999958251156,0.375,5.170438150503587,0.08785350985945131,5.964005844245537,0.25
