,Cluster,Category,XGB_mae,XGB_static_me,XGB_static_rmse,XGB_static_direction_accuracy,XGB_rolling_mae,XGB_rolling_me,XGB_rolling_rmse,XGB_rolling_direction_accuracy,XGB_wf_mae,XGB_wf_me,XGB_wf_rmse,XGB_wf_direction_accuracy
0,"['25', '24']",A2 -  geschreddert,11.682254010279383,10.550323210630799,13.35561756343942,0.5,6.86458457283019,2.7856806806133694,8.173904458320775,0.375,7.709802906221223,3.470111677190314,9.392137539360492,0.125
1,"['25', '24']",A1 & A2 -  geschreddert,10.741105225909173,7.7364719512885864,12.012173654305519,0.375,6.6233378370126434,1.5487953303084818,7.9749430543977295,0.5,6.9226295627616725,2.3283702667712545,8.226338638142618,0.5
2,"['25', '24']",A2 & A3 -  geschreddert,13.819840007926508,12.117164834007731,15.503235168557508,0.5,6.3075781952989365,4.104729344777044,8.634625715711605,0.5,7.22150711069092,4.929908889675415,9.073826730855362,0.0
3,"['80', '81', '82', '83', '84', '85', '93', '94']",A3 -  geschreddert,5.975894721962661,-5.975894721962661,6.4250535217101845,0.375,2.9501545394979334,-2.585520220416437,3.200623167626196,0.125,2.105009879135349,-1.4289663162009418,2.4914819876753023,0.375
4,"['80', '81', '82', '83', '84', '85', '93', '94']",A1 & A2 -  geschreddert,3.034711023059036,1.7055421155627757,4.52835602035326,0.14285714285714285,4.890082202575617,3.03793576180301,8.043274134998839,0.5714285714285714,5.138647399566584,4.093775777214387,9.264565975504208,0.7142857142857143
5,"['80', '81', '82', '83', '84', '85', '93', '94']",A2 & A3 -  geschreddert,4.738848447542365,-4.738848447542365,5.193994410890869,0.875,3.012953289725224,-2.5160374903754814,3.213506636729575,0.5,2.323568650936115,-1.0089557168294745,2.7627301325764426,0.5
6,"['70', '71', '73', '74', '75', '76']",A2 & A3 -  geschreddert,10.91718896724477,-7.193880493981624,11.752462269040503,0.2857142857142857,7.370124327923916,-1.0796007469723463,8.314399538477144,0.5714285714285714,5.635648715283535,-0.8792466476986647,6.165806922977536,0.7142857142857143
7,"['50', '51', '52', '53']",A2 & A3 -  geschreddert,2.984469059386455,-2.1066329448586596,3.5838596727704695,0.375,2.8440191749942243,-1.3454315101934036,3.5422253945975797,0.25,2.9120385912909104,-0.6545173561406692,3.295258085102905,0.625
8,"['50', '51', '52', '53']",A3 -  geschreddert,2.3280002741830517,1.0301716458230754,2.739939477343948,0.75,3.381997220577681,1.1699939169581939,3.6983095494436458,0.875,3.1580430198330522,1.6156197519530398,3.9115663786658263,0.75
9,"['40', '41', '42', '44', '45', '46', '47']",A2 & A3 -  ungeschreddert,1.7357561286991168,-0.6751501366984655,2.246490268382177,0.375,2.4359888503600646,0.2588630180731274,2.822123729248163,0.25,2.4945770092716453,0.13717957945414957,2.9606549573895196,0.25
10,"['40', '41', '42', '44', '45', '46', '47']",A1 & A2 -  ungeschreddert,8.06458702550808,5.937683396526929,8.812124167909559,0.42857142857142855,4.555720136492397,0.24250223536169258,6.717293529782,0.5714285714285714,4.7068900527207,-0.15645550142848808,7.1467977092405475,0.5714285714285714
11,"['40', '41', '42', '44', '45', '46', '47']",A2 & A3 -  geschreddert,3.585318552154141,1.4996662078398506,4.24074206567248,0.625,3.8380623261443483,0.12047136539532488,4.408029275052877,0.5,4.192909227508145,-0.037202947196227854,4.833118617235962,0.375
12,"['40', '41', '42', '44', '45', '46', '47']",A3 -  geschreddert,3.652595327165844,1.576025092190471,4.6646750562471375,0.625,5.184141549004901,2.3230505290156933,6.849353696347034,0.5,5.022940293906641,1.0075654191301595,6.606092822996579,0.625
13,"['40', '41', '42', '44', '45', '46', '47']",A1 & A2 -  geschreddert,4.532808294943676,3.2371229886191175,5.272909451118342,0.875,3.277406410332732,-0.14210751064846056,5.230916003334437,0.75,3.2768146871069543,-1.0974989706433065,5.886692501675444,0.75
14,"['40', '41', '42', '44', '45', '46', '47']",A2 -  geschreddert,5.891575003983551,-0.4834460953257076,7.296545481169086,0.2857142857142857,6.176280642869049,0.7048111220815194,7.463436280842646,0.2857142857142857,6.5617416701163105,1.0572531482198246,7.7337882607534,0.2857142857142857
15,"['26', '27', '28']",A2 -  geschreddert,3.7656476472691724,2.536521957101548,4.674201640760692,0.5,4.589879794970694,0.40603437884575827,5.239900304044252,0.5,4.128573904206186,0.5962444487746088,4.754321829411459,0.5
16,"['26', '27', '28']",A3 -  geschreddert,2.242105724072977,0.5877000915201803,2.8103041100549575,0.25,2.1681758314270354,0.7352449523600241,2.7299736031867976,0.5,2.92221885421858,0.4015508387346036,3.638661534611138,0.25
