,Cluster,Category,RandomForest_static_mae,RandomForest_static_me,RandomForest_static_rmse,RandomForest_static_direction_accuracy,RandomForest_rolling_mae,RandomForest_rolling_me,RandomForest_rolling_rmse,RandomForest_rolling_direction_accuracy,RandomForest_wf_mae,RandomForest_wf_me,RandomForest_wf_rmse,RandomForest_wf_direction_accuracy
0,"['25', '24']",A2 -  geschreddert,10.905131658794453,9.20057955137198,12.466998359789253,0.0,6.758715813431703,3.552916021878689,7.735114420898391,0.5,6.883024982941695,3.560049891671497,8.11074935152478,0.375
1,"['25', '24']",A1 & A2 -  geschreddert,9.543497592243941,6.935594595966747,10.814333570627277,0.375,6.893966352988804,2.3459313317103376,8.555033381122295,0.375,7.2341473947185495,2.52565834028928,8.732760929465176,0.5
2,"['25', '24']",A2 & A3 -  geschreddert,13.02166392392088,11.80038670991248,14.869991913089768,0.125,6.407393207020238,4.994287089949423,8.434552778200533,0.25,6.882822745936595,4.5449050985643105,8.50307977748529,0.25
3,"['80', '81', '82', '83', '84', '85', '93', '94']",A3 -  geschreddert,5.439033878835433,-5.439033878835433,5.914250767318627,0.375,2.553899397220457,-2.094583403215243,2.742342434721108,0.625,2.1535630816597924,-1.5611394537799883,2.400752582593246,0.5
4,"['80', '81', '82', '83', '84', '85', '93', '94']",A1 & A2 -  geschreddert,4.816681196047964,4.7191176267448425,7.072996344141107,0.2857142857142857,2.454076643366947,2.0601416389950513,5.114434172923578,0.5714285714285714,2.422504318901572,1.7859013719571166,5.024925995050872,0.5714285714285714
5,"['80', '81', '82', '83', '84', '85', '93', '94']",A2 & A3 -  geschreddert,4.669861262071226,-4.531847589396957,5.293486265010848,0.375,3.2117879353578425,-2.102067580660444,3.4589397543592546,0.375,2.6756458811405457,-0.9708458456201675,2.9893452687984494,0.5
6,"['70', '71', '73', '74', '75', '76']",A2 & A3 -  geschreddert,5.059855894766483,-0.4303584424506175,5.604430532990196,0.42857142857142855,5.604945797873723,-0.352185072279827,5.877889539674645,0.7142857142857143,5.327165328470768,-0.3152579830485127,5.642022695402974,0.7142857142857143
7,"['50', '51', '52', '53']",A2 & A3 -  geschreddert,2.4210958868657393,-1.8411285557370611,2.9299571207125967,0.5,2.647923709963985,-1.0850631237782418,3.1314786270200483,0.25,2.6007874214749918,-0.2220002476406452,2.9141197656692555,0.5
8,"['50', '51', '52', '53']",A3 -  geschreddert,2.5691576975389077,-0.9429027500746946,2.73089861766097,0.75,2.944002899070753,0.3708644569609777,3.3510516044518504,0.5,3.09778682821373,0.507629106740743,3.567517517701083,0.625
9,"['40', '41', '42', '44', '45', '46', '47']",A2 & A3 -  ungeschreddert,2.1089323744938064,0.9740446413786888,2.335457555965744,0.5,1.8330889464491769,0.5945166628501646,2.070962943728551,0.375,1.5918500824345698,0.6681289051240599,1.8022065408840122,0.375
10,"['40', '41', '42', '44', '45', '46', '47']",A1 & A2 -  ungeschreddert,8.055263604261189,6.753163981267222,9.21556600907796,0.7142857142857143,4.860086679958307,0.08393087815685973,7.334845041879507,0.42857142857142855,4.837444511189725,-0.14085918397489383,7.393216274511499,0.42857142857142855
11,"['40', '41', '42', '44', '45', '46', '47']",A2 & A3 -  geschreddert,3.816920915571367,2.290346058914515,4.471774529161969,0.875,3.4826615508149033,0.8275007613876199,4.20636916112556,0.5,3.50130602138566,0.6440683323532794,4.342308942737585,0.625
12,"['40', '41', '42', '44', '45', '46', '47']",A3 -  geschreddert,3.5760042587213454,1.4167018293135378,4.058225093163704,0.75,5.046221219671312,3.023154819405327,7.6517278461307505,0.375,4.523970458689905,2.0130675523654697,6.174473795129868,0.625
13,"['40', '41', '42', '44', '45', '46', '47']",A1 & A2 -  geschreddert,4.656073760987187,-3.4996008928306663,5.36434719370218,1.0,3.3566908248113116,-0.1521886127237027,4.960294370329593,0.75,3.244773867654746,-0.13840713433178684,4.8124770573363165,0.625
14,"['40', '41', '42', '44', '45', '46', '47']",A2 -  geschreddert,6.3937447964846665,-1.9129287377454873,7.649262066820587,0.2857142857142857,5.472788496575015,0.16262961721332525,6.161196236914884,0.2857142857142857,5.46979062019542,-0.057944407218596616,6.231082657047248,0.2857142857142857
15,"['26', '27', '28']",A2 -  geschreddert,2.97487832550313,1.7003968694336513,4.142237317823346,0.6666666666666666,3.6256115252698216,0.5508121309960389,4.687565908704547,0.5,3.7434470807487656,0.33566196485944133,4.8434734474505445,0.5
16,"['26', '27', '28']",A3 -  geschreddert,2.08328423027243,0.16809084169075086,2.618253016832325,0.5,2.1399281323158075,0.22833240959793405,2.947227352968891,0.375,2.393823598936641,0.38159829181901084,3.010408153271694,0.125
17,"['26', '27', '28']",A1 & A2 -  geschreddert,3.188726709278402,1.9911299119763155,4.1596405076998435,0.42857142857142855,4.7404666226942425,0.48196696999064714,5.9822360550973235,0.2857142857142857,4.752669381366312,-0.3089556135899576,6.085486767196182,0.2857142857142857
18,"['26', '27', '28']",A2 & A3 -  geschreddert,5.273551740960789,-5.273551740960789,5.8925188060532525,0.375,3.5232072456683765,-3.073717217358367,4.335801190843201,0.375,2.912528851611987,-2.174460332889063,3.415656594930726,0.375
19,"['48', '49']",A2 & A3 -  ungeschreddert,3.674711781108115,-3.674711781108115,4.157694351402789,0.8571428571428571,2.3382848163531875,-1.8148805664427203,3.105957118991497,0.5714285714285714,2.1962889329063953,-1.436985095349339,2.960258194365703,0.5714285714285714
